Name,URL,Total codebase size,Total lines of comments,Stars on the repository,Forks on the repository,Contributors on the repository,Comment % on repository,Issues
Vue,https://github.com/vuejs/vue.git,,,196000,32100,404,,9714
React,https://github.com/facebook/react.git,,,188000,38700,1556,,11414
Bootstrap,https://github.com/twbs/bootstrap.git,,,157000,76700,1297,,21225
Javascript-algorithms,https://github.com/trekhleb/javascript-algorithms.git,,,141000,23400,192,,188
Airbnb-javascript-style-guide,https://github.com/airbnb/javascript.git,,,123000,23600,482,,1162
React-native,https://github.com/facebook/react-native.git,,,103000,22100,2327,,22685
D3,https://github.com/d3/d3.git,,,101000,23100,123,,2106
30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code.git,,,95600,10100,264,,277
create-react-app,https://github.com/facebook/create-react-app.git,,,95000,24500,881,,6700
Axios,https://github.com/axios/axios.git,,,93400,9500,366,,3646
Awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted.git,,,88300,5800,1045,,681
Nodejs,https://github.com/nodejs/node.git,,,87600,23400,3120,,14542
Next,https://github.com/vercel/next.js.git,,,86700,18300,2129,,12664
Three,https://github.com/mrdoob/three.js.git,,,81900,31700,1624,,11120
Material-UI,https://github.com/mui/material-ui.git,,,78400,27100,2504,,15850
nodebestpractices,https://github.com/goldbergyoni/nodebestpractices.git,,,77700,8000,213,,292
tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook.git,,,69900,9700,112,,50
font-awesome,https://github.com/FortAwesome/Font-Awesome.git,,,69300,12000,2,,18252
Clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript.git,,,67400,9000,109,,122
json-server,https://github.com/typicode/json-server.git,,,61200,6000,70,,996
reveal,https://github.com/hakimel/reveal.js.git,,,59700,16200,297,,2130
atom,https://github.com/atom/atom.git,,,57500,17200,489,,17962
expressjs,https://github.com/expressjs/express.git,,,57000,9700,293,,3691
chart,https://github.com/chartjs/Chart.js.git,,,56900,11500,411,,6410
tailwindcss,https://github.com/tailwindlabs/tailwindcss.git,,,56800,2800,229,,2304
Github-resume,https://github.com/resume/resume.github.com.git,,,57000,1300,52,,105
jquery,https://github.com/jquery/jquery.git,,,56200,20400,277,,2174
markdown-here,https://github.com/adam-p/markdown-here.git,,,55300,10700,12,,591
lodash,https://github.com/lodash/lodash.git,,,53200,6500,310,,3988
html5-boilerplate,https://github.com/h5bp/html5-boilerplate.git,,,52800,12000,245,,1261
iptv,https://github.com/iptv-org/iptv.git,,,50600,8900,169,,2422
Semantic-ui,https://github.com/Semantic-Org/Semantic-UI.git,,,50000,5100,201,,6181
Web-dev-for-beginning,https://github.com/microsoft/Web-Dev-For-Beginners.git,,,49600,7100,136,,191
33-javascript-concepts,https://github.com/leonardomso/33-js-concepts.git,,,49000,6700,98,,40
Deeplearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions.git,,,47800,15000,107,,177
Mermaid,https://github.com/mermaid-js/mermaid.git,,,47200,3500,318,,1828
Moment,https://github.com/moment/moment.git,,,46500,7100,592,,3967
Strapi,https://github.com/strapi/strapi.git,,,45000,5500,757,,6458
Hacker-scripts,https://github.com/NARKOZ/hacker-scripts.git,,,44100,6600,50,,72
meteor,https://github.com/meteor/meteor.git,,,42900,5200,658,,8729
Serverless,https://github.com/serverless/serverless.git,,,42700,5300,956,,5628
prettier,https://github.com/prettier/prettier.git,,,42600,3300,583,,5488
Anime,https://github.com/juliangarnier/anime.git,,,42300,3500,52,,645
