Name,URL,Total codebase size,Total lines of comments,Stars on the repository,Forks on the repository,Contributors on the repository,Comment % on repository,Issues,Codesize per issue,Code + comment size
Vue,https://github.com/vuejs/vue.git,105864,17316,196000,32100,404,14.1,9714,12.68066708,123180
React,https://github.com/facebook/react.git,290978,42503,188000,38700,1556,12.7,11414,29.21683897,333481
Bootstrap,https://github.com/twbs/bootstrap.git,100842,5129,157000,76700,1297,4.8,21225,4.992744405,105971
Javascript-algorithms,https://github.com/trekhleb/javascript-algorithms.git,29316,4459,141000,23400,192,13.2,188,179.6542553,33775
Airbnb-javascript-style-guide,https://github.com/airbnb/javascript.git,3905,1480,123000,23600,482,27.5,1162,4.634251291,5385
React-native,https://github.com/facebook/react-native.git,332722,78344,103000,22100,2327,19.1,22685,18.12060833,411066
D3,https://github.com/d3/d3.git,2460,13,101000,23100,123,0.5,2106,1.174264008,2473
30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code.git,9794,246,95600,10100,264,2.5,277,36.24548736,10040
create-react-app,https://github.com/facebook/create-react-app.git,96198,27534,95000,24500,881,22.3,6700,18.46746269,123732
Axios,https://github.com/axios/axios.git,33737,1654,93400,9500,366,4.7,3646,9.706801975,35391
Awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted.git,3039,50,88300,5800,1045,1.6,681,4.535976505,3089
Nodejs,https://github.com/nodejs/node.git,5524928,800858,87600,23400,3120,12.7,14542,435.0011003,6325786
Next,https://github.com/vercel/next.js.git,268142,34620,86700,18300,2129,11.4,12664,23.90729627,302762
Three,https://github.com/mrdoob/three.js.git,638419,40603,81900,31700,1624,6,11120,61.0631295,679022
Material-UI,https://github.com/mui/material-ui.git,461421,28473,78400,27100,2504,5.8,15850,30.9081388,489894
nodebestpractices,https://github.com/goldbergyoni/nodebestpractices.git,24564,1489,77700,8000,213,5.7,292,89.22260274,26053
tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook.git,8713,264,69900,9700,112,2.9,50,179.54,8977
font-awesome,https://github.com/FortAwesome/Font-Awesome.git,249835,873,69300,12000,2,0.3,18252,13.73591935,250708
Clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript.git,1239,126,67400,9000,109,9.2,122,11.18852459,1365
json-server,https://github.com/typicode/json-server.git,19689,127,61200,6000,70,0.6,996,19.89558233,19816
reveal,https://github.com/hakimel/reveal.js.git,26131,3433,59700,16200,297,11.6,2130,13.87981221,29564
atom,https://github.com/atom/atom.git,122764,11847,57500,17200,489,8.8,17962,7.494209999,134611
expressjs,https://github.com/expressjs/express.git,16989,2138,57000,9700,293,11.2,3691,5.182064481,19127
Github-resume,https://github.com/resume/resume.github.com.git,1004,45,57000,1300,52,4.3,105,9.99047619,1049
chart,https://github.com/chartjs/Chart.js.git,81735,6197,56900,11500,411,7,6410,13.71794072,87932
tailwindcss,https://github.com/tailwindlabs/tailwindcss.git,88695,1126,56800,2800,229,1.3,2304,38.98480903,89821
jquery,https://github.com/jquery/jquery.git,31114,4548,56200,20400,277,12.8,2174,16.40386385,35662
markdown-here,https://github.com/adam-p/markdown-here.git,24873,6425,55300,10700,12,20.5,591,52.95769882,31298
lodash,https://github.com/lodash/lodash.git,17202,5205,53200,6500,310,23.2,3988,5.618605817,22407
html5-boilerplate,https://github.com/h5bp/html5-boilerplate.git,20445,247,52800,12000,245,1.2,1261,16.40919905,20692
iptv,https://github.com/iptv-org/iptv.git,8238,1,50600,8900,169,0,2422,3.401734104,8239
Semantic-ui,https://github.com/Semantic-Org/Semantic-UI.git,123899,16323,50000,5100,201,11.6,6181,22.68597314,140222
Web-dev-for-beginning,https://github.com/microsoft/Web-Dev-For-Beginners.git,71327,1307,49600,7100,136,1.8,191,380.2827225,72634
33-javascript-concepts,https://github.com/leonardomso/33-js-concepts.git,908,7,49000,6700,98,0.8,40,22.875,915
Deeplearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions.git,17706,450,47800,15000,107,2.5,177,102.5762712,18156
Mermaid,https://github.com/mermaid-js/mermaid.git,37204,4965,47200,3500,318,11.8,1828,23.06838074,42169
Moment,https://github.com/moment/moment.git,175790,5181,46500,7100,592,2.9,3967,45.61910764,180971
Strapi,https://github.com/strapi/strapi.git,157788,8230,45000,5500,757,5,6458,25.70733973,166018
Hacker-scripts,https://github.com/NARKOZ/hacker-scripts.git,1360,251,44100,6600,50,15.6,72,22.375,1611
meteor,https://github.com/meteor/meteor.git,208901,43613,42900,5200,658,17.3,8729,28.92817047,252514
Serverless,https://github.com/serverless/serverless.git,73481,2523,42700,5300,956,3.3,5628,13.50461976,76004
prettier,https://github.com/prettier/prettier.git,101165,11947,42600,3300,583,10.6,5488,20.61078717,113112
